bus_id,station_id,voltage,dc,symbol,under_construction,lon,lat
1311,1669,380,f,Substation,f,16.020813,39.780047
1312,1671,380,f,Substation,f,16.581116,39.568646
1313,1672,380,f,Substation,f,16.268005,38.834359
1314,1673,380,f,Substation,f,16.633301,38.903858
1315,1674,220,f,Substation,f,15.231171,38.157237
1316,1675,220,f,Substation,f,15.148773,38.108628
1318,1676,380,f,Substation,f,15.235291,38.079447
1317,1676,220,f,Substation,f,15.235291,38.079447
1320,1678,380,f,Substation,f,14.611816,37.058465
1319,1678,220,f,Substation,f,14.611816,37.058465
1321,1679,220,f,Substation,f,14.582977,36.830172
1322,1680,380,f,Substation,f,14.919434,37.545666
1323,1681,220,f,Substation,f,15.019684,37.472678
1324,1683,220,f,Substation,f,15.074615,37.079284
1325,1684,220,f,Substation,f,15.192719,37.093526
1326,1685,220,f,Substation,f,15.290222,37.068328
1328,1688,380,f,Substation,f,16.101837,38.349196
1329,1690,380,f,Substation,f,15.47287,38.146438
1330,1691,380,f,Substation,f,15.779114,38.175592
1331,1692,380,f,Substation,f,16.460266,38.77764
1333,1694,380,f,Substation,f,8.221893,40.864718
1335,1698,220,f,Substation,f,5.944977,36.813683
1336,1699,220,f,Substation,f,5.940857,36.783992
1337,1701,380,f,Substation,f,6.255341,36.808185
1339,1702,380,f,Substation,f,6.389923,36.856549
1338,1702,220,f,Substation,f,6.389923,36.856549
1340,1703,220,f,Substation,f,6.466827,36.780692
1342,1705,220,f,Substation,f,6.821136,36.801588
1345,1707,380,f,Substation,f,6.950226,36.720173
1344,1707,220,f,Substation,f,6.950226,36.720173
1346,1708,220,f,Substation,f,7.136993,36.892801
1347,1709,220,f,Substation,f,7.046356,36.858746
1349,1710,380,f,Substation,f,7.46521,36.927939
1348,1710,220,f,Substation,f,7.46521,36.927939
1350,1711,220,f,Substation,f,7.702789,36.934525
1351,1712,220,f,Substation,f,7.46521,36.846659
1352,1713,220,f,Substation,f,7.532501,36.799389
1353,1714,220,f,Substation,f,7.805786,36.75429
1356,1716,380,f,Substation,f,8.237,36.709164
1355,1716,220,f,Substation,f,8.237,36.709164
1357,1717,220,f,Substation,f,8.403168,36.830172
1358,1718,380,f,Substation,f,8.495178,40.526327
1361,1720,380,f,Substation,f,8.636627,40.644178
1360,1720,220,f,Substation,f,8.636627,40.644178
1362,1721,220,f,Substation,f,8.563843,39.942384
1363,1722,220,f,Substation,f,9.036255,40.256473
1364,1723,220,f,Substation,f,9.036255,39.979225
1365,1724,220,f,Substation,f,9.165344,40.24704
1366,1725,220,f,Substation,f,9.212036,40.113789
1367,1727,220,f,Substation,f,8.968964,39.417099
1368,1728,220,f,Substation,f,8.451233,39.224807
1369,1731,380,f,Substation,f,8.960724,39.230126
1370,1732,380,f,Substation,f,8.995056,39.035186
1372,1734,380,f,Substation,f,9.183197,39.374649
1371,1734,220,f,Substation,f,9.183197,39.374649
1373,1735,132,f,Substation,f,9.195557,36.644182
1376,1737,380,f,Substation,f,9.625397,36.958671
1375,1737,132,f,Substation,f,9.625397,36.958671
1377,1740,220,f,Substation,f,9.816284,36.849956
1378,1741,220,f,Substation,f,9.901428,37.188767
1379,1742,220,f,Substation,f,9.905548,36.930135
1381,1744,380,f,Substation,f,9.924774,36.763092
1382,1745,220,f,Substation,f,9.967346,36.768592
1384,1748,220,f,Substation,f,10.041504,36.745487
1386,1749,220,f,Substation,f,10.144501,36.726778
1385,1749,132,f,Substation,f,10.144501,36.726778
1387,1750,220,f,Substation,f,10.239258,36.70366
1388,1751,220,f,Substation,f,10.531769,36.745487
1389,1752,220,f,Substation,f,10.643005,36.742186
1391,1755,380,f,Substation,f,0.499878,40.761821
1390,1755,220,f,Substation,f,0.499878,40.761821
1392,1758,220,f,Substation,f,0.024719,40.294192
1393,1759,220,f,Substation,f,0.137329,40.213489
1394,1761,380,f,Substation,f,0.030212,40.036027
1395,1762,220,f,Substation,f,0.748444,40.892753
1396,1763,220,f,Substation,f,0.841827,40.925965
1397,1764,380,f,Substation,f,0.704498,40.78678
1398,1765,220,f,Substation,f,0.903625,40.977825
1399,1766,132,f,Substation,f,1.322479,38.980763
1400,1768,132,f,Substation,f,1.492767,38.983965
1401,1769,132,f,Substation,f,1.421356,38.914544
1402,1770,220,f,Substation,f,2.555695,39.643768
1403,1771,220,f,Substation,f,2.706757,39.746266
1406,1773,220,f,Substation,f,2.540588,39.540058
1405,1773,132,f,Substation,f,2.540588,39.540058
1407,1774,220,f,Substation,f,2.772675,39.530526
1408,1775,132,f,Substation,f,1.461182,38.720876
1409,1777,220,f,Substation,f,2.738342,36.645283
1410,1778,132,f,Substation,f,3.856201,39.937119
1411,1779,132,f,Substation,f,3.88916,40.028666
1412,1780,132,f,Substation,f,4.100647,39.982382
